waktu,id_tweet,count_retweet,count_likes,id_account_twitter,username,full_name,followers,following,location,tweet
2021-12-21 00:10:00,1473083292685455361,125,0,1434301402617053186,JustEfren05,Efren,1,72,,RT @tiebreakertimes: #M3WorldChampionship V33Wise proves that they can conquer the world stage with unorthodox picks &gt;&gt; https://t.co/3udxcx…
2021-12-21 00:07:56,1473082771920723970,4,0,1471108945162899459,AmongSU97835347,MeowPunk,74,363,,"RT @KhyrHesmes: My collection of five Kodeng E-Sport was mint!!! 

TODAK 0.04 BNB
ONIC PH 0.04 BNB
EVOS 0.04 BNB
BREN ESPORTS 0.05 BNB
BLAC…"
2021-12-21 00:05:48,1473082238896009216,4,6,1470597518228541443,KhyrHesmes,Si Kodeng,118,339,,"My collection of five Kodeng E-Sport was mint!!! 

TODAK 0.04 BNB
ONIC PH 0.04 BNB
EVOS 0.04 BNB
BREN ESPORTS 0.05… https://t.co/c24hhRT4CU"
2021-12-21 00:00:01,1473080781086113792,0,0,718648027842367488,aTypicalGeekguy,#NoToMarcosDuterte2022,558,418,go check my pinned tweet,"MEGA special with buildmate, FREE SHIPPING!

link: https://t.co/an7PmcPzXz

#JUN_THE8_AreBack #BreakTheCode… https://t.co/LBfNGJs9HL"
2021-12-20 23:30:00,1473073227094274048,0,0,718648027842367488,aTypicalGeekguy,#NoToMarcosDuterte2022,558,418,go check my pinned tweet,"ARTWORK Above Water (T-Shirt for Women)

price: 260 pesos

link: https://t.co/Ex5yQdCOoG

#JUN_THE8_AreBack… https://t.co/1g9DS8SbEe"
2021-12-20 23:29:44,1473073161621352448,125,0,4914752803,Krismari9,KRIS 🌸,1098,432,,RT @tiebreakertimes: #M3WorldChampionship V33Wise proves that they can conquer the world stage with unorthodox picks &gt;&gt; https://t.co/3udxcx…
2021-12-20 23:09:30,1473068069392367620,0,1,1211156506277662725,050390_FTW,𓍼jenny𓍯 💖,79,1665,,Hindi ko pa kayo nababati. Congratulations #Blacklistinternational #BreakTheCode #M3WorldChampionship… https://t.co/7arxq4hBvZ
2021-12-20 23:01:00,1473065928640270336,0,0,718648027842367488,aTypicalGeekguy,#NoToMarcosDuterte2022,558,418,go check my pinned tweet,"Buy Mini Grinder and get FREE quick Bar Clamp! + FREE shipping

link: https://t.co/ifNVOb1plW

#JUN_THE8_AreBack… https://t.co/aNWo0FFavk"
2021-12-20 22:41:42,1473061071946928129,125,0,2840611968,Evelyngarcia_28,Renai,484,247,,RT @tiebreakertimes: #M3WorldChampionship V33Wise proves that they can conquer the world stage with unorthodox picks &gt;&gt; https://t.co/3udxcx…
2021-12-20 22:37:26,1473059998213099522,26,169,1248236229985841153,just_cutieca,caramelitazzz,162,176,"East Region, Singapore",Mahiwagang kamay ng Champions! @OhMyV33nus__ @Edwardzy1 @OhebOfficial @DexstarLouise Sarap sa eyes 😍@dunnajuy seshh… https://t.co/Y84Ast0IBr
2021-12-20 22:30:00,1473058128971321347,0,0,718648027842367488,aTypicalGeekguy,#NoToMarcosDuterte2022,558,418,go check my pinned tweet,"ARTWORK Never Mind (Coin Purse)

price: 199 pesos

link: https://t.co/LMLZs80IeC

#JUN_THE8_AreBack #BreakTheCode… https://t.co/B6Oq93Uadj"
2021-12-20 22:00:00,1473050578854944768,0,0,718648027842367488,aTypicalGeekguy,#NoToMarcosDuterte2022,558,418,go check my pinned tweet,"ARTWORK Private Property (Coin Purse)

price: 199 pesos

link: https://t.co/kBTiaEVPmE

#JUN_THE8_AreBack… https://t.co/BNz0RWIbgD"
2021-12-20 17:44:12,1472986204668788738,14,0,1470683632918413316,QueenBlck02,fran|#BreakTheCode,119,375,,"RT @ONEEsports: Those who witnessed @BLACKLISTINTL's performance at M3 saw how much of a threat Beatrix can be.

Here's how to build the he…"
2021-12-20 17:28:20,1472982212794466309,17,0,818003622160056320,dko_lm,vw,74,367,north,"RT @roxytociiin: Appreciation for Hadji:
Dumoble lakas ng Blacklist nung dumating siya. Having the mind of an assasin jungler and now a POS…"
2021-12-20 17:08:35,1472977240875048967,125,0,4896485600,charlleadrn,#WeWantEstes,526,510,United States,RT @tiebreakertimes: #M3WorldChampionship V33Wise proves that they can conquer the world stage with unorthodox picks &gt;&gt; https://t.co/3udxcx…
2021-12-20 16:53:41,1472973489560862723,2,0,2598636689,antidotecodeine,not a svin,5,54,,"RT @natusvincere: Watch the new video interview with NAVI #MobileLegendsBangBang team summing up their #M3WorldChampionship run.

🎥: https:…"
2021-12-20 16:51:42,1472972992296591360,0,0,205517139,ItsTimeToBogie,Boogie Fajar,26955,674,World,Thank you all for the best show in M3 World championship. See you on M4 #M3WorldChampionship #indopride #MLBB… https://t.co/UkzhVGKnbs
2021-12-20 16:44:13,1472971108160659459,0,2,283499984,johnatlastumlos,John Atlas Tumlos,336,896,Pasig City,"Thank you Onic PH and Blacklist International for representing Philippines. 👏💛🖤🏆🇵🇭

#itsONICtime #BreakTheCode… https://t.co/xtUjeAVwQh"
2021-12-20 16:35:31,1472968919845642249,0,0,2411445664,hello_itsmin,Min in MUNDINHO BR DA OhMyV33NUS👑,204,618,"Brazil,Amazonas,Manaus","@MLBBBR #ToTheTop #M3 #MLBBM3 #CriasNoM3 #M3Brazil  #MobileLegendsBangBang #M3WorldChampionship
Id: 101412371 (1033… https://t.co/AyALEidaAA"
